// FFXIV 1.0 (1.23b) RTTI Database — 4358 classes
// Generated from: ffxivgame.exe
// Date: 2026-05-18 13:35:01

// Format: Demangled | VTable VA | VFunc Count | TypeDescriptor VA | Mangled
// -------------------------------------------------------------------------
Application::Lua::Script::Client::Control::CharaBase::?1??_waitForCharaSchedulerFinished::WaitForCharaSchedulerFinishedResumeChecker | 0x00FD50FC |   3 | 0x012C00A0 | .?AVWaitForCharaSchedulerFinishedResumeChecker@?1??_waitForCharaSchedulerFinished@CharaBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CharaBase::?1??_waitForTurning::WaitForTurningResumeChecker | 0x00FD50EC |   3 | 0x012BFFF8 | .?AVWaitForTurningResumeChecker@?1??_waitForTurning@CharaBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CharaBase::SetNameplateMessageListener          | 0x00FD76C8 |   2 | 0x012C2ED8 | .?AVSetNameplateMessageListener@CharaBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CharaBase::SetNameplateMessageListener::TextModuleListener | 0x00FD76D4 |   2 | 0x012C2F38 | .?AVTextModuleListener@SetNameplateMessageListener@CharaBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CommandBase                                     | 0x00FDF83C |  34 | 0x012C3168 | .?AVCommandBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CommandDebuggerBase                             | 0x00FD510C |  34 | 0x012C0160 | .?AVCommandDebuggerBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CommandEventRelationActorBase                   | 0x00FD507C |  21 | 0x012BFEE0 | .?AVCommandEventRelationActorBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CommandEventRelationControlBase                 | 0x00FD4F6C |  21 | 0x012BFD88 | .?AVCommandEventRelationControlBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CommandEventRelationItemBase                    | 0x00FD5514 |  21 | 0x012C08A8 | .?AVCommandEventRelationItemBase@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CreateClientItemResumeChecker                   | 0x00FD5958 |   3 | 0x012C1758 | .?AVCreateClientItemResumeChecker@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CutScene                                        | 0x00FD597C |  34 | 0x012C17AC | .?AVCutScene@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CutScene::InitializationClipArguments           | 0x00FD6178 |   1 | 0x012C2A10 | .?AVInitializationClipArguments@CutScene@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::CutScene::PlayingResumeChecker                  | 0x00FD51AC |   3 | 0x012C0200 | .?AVPlayingResumeChecker@CutScene@Control@Client@Script@Lua@Application@@
Application::Lua::Script::Client::Control::Debug                                           | 0x00FD51DC |  34 | 0x012C0324 | .?AVDebug@Control@Client@Script@Lua@Application@@
